region_code,metric,year,value,ci_lower,ci_upper,ci_width,cv
E12000005,gdhi_per_head_gbp,2029,23803.846949673305,21266.193688228912,26629.69925751971,5363.505569290799,0.11266047838045797
E12000005,gdhi_per_head_gbp,2030,24478.389164614142,21672.667188289233,27632.17282396044,5959.505635671208,0.12172993891865738
E12000005,gdhi_per_head_gbp,2031,25179.025216406568,22106.817461612634,28662.45121912101,6555.633757508374,0.13018045180789495
E12000005,gdhi_per_head_gbp,2032,25905.611992437633,22566.298389177813,29722.758639527154,7156.460250349341,0.1381256743218121
E12000005,gdhi_per_head_gbp,2033,26659.099364040878,23050.291926076647,30815.998552738136,7765.706626661489,0.1456483304371539
E12000005,gdhi_per_head_gbp,2034,27439.70909181817,23557.709718991857,31943.8801552895,8386.170436297642,0.1528108481076825
E12000005,gdhi_per_head_gbp,2035,28248.254216233676,24088.223046020146,33108.55222652777,9020.329180507622,0.15966171062217058
E12000005,gdhi_per_head_gbp,2036,29085.179787162142,24641.359324459823,34311.568528156764,9670.20920369694,0.16623946068858853
E12000005,gdhi_per_head_gbp,2037,29951.26342657763,25217.054342773456,35554.753140939014,10337.698798165558,0.17257533765657898
E12000005,gdhi_per_head_gbp,2038,30847.10176596542,25815.18130266465,36839.63182959281,11024.450526928158,0.17869507823733025
E12000005,gdhi_per_head_gbp,2039,31773.488179445547,26435.847262519335,38167.90171745146,11732.054454932124,0.18462018379401066
E12000005,gdhi_per_head_gbp,2040,32731.133935923408,27079.14162493846,39541.11732717981,12461.97570224135,0.19036883547385988
E12000005,gdhi_per_head_gbp,2041,33720.87464608265,27745.29631584088,40960.95017280254,13215.653856961664,0.19595656986460944
E12000005,gdhi_per_head_gbp,2042,34743.517076259195,28434.54898501495,42429.01444155827,13994.46545654332,0.20139678757660898
E12000005,gdhi_per_head_gbp,2043,35799.95334489211,29147.230167672908,43947.01269224008,14799.782524567174,0.20670114262423736
E12000005,gdhi_per_head_gbp,2044,36891.076011112455,29883.687782420566,45516.63872164051,15632.950939219947,0.21187984506755694
E12000005,gdhi_per_head_gbp,2045,38017.84194966652,30644.334852830852,47139.66054157759,16495.32568874674,0.2169418994190362
E12000005,gdhi_per_head_gbp,2046,39181.225017505465,31429.60734285096,48817.86628908776,17388.2589462368,0.22189529472940217
E12000005,gdhi_per_head_gbp,2047,40382.25219219267,32239.990421069535,50553.1122419489,18313.12182087936,0.22674715780735902
E12000005,gdhi_per_head_gbp,2048,41621.97715756155,33075.9946997474,52347.292939682666,19271.298239935262,0.2315038779511007
E12000005,gdhi_per_head_gbp,2049,42901.501032788954,33938.17076442321,54202.369533130775,20264.198768707567,0.23617120940850012
E12000005,gdhi_per_head_gbp,2050,44221.957723197425,34827.09570812919,56120.35363482641,21293.257926697217,0.24075435624062674
E12000005,gdhi_total_mn_gbp,2024,129452.27452160663,121396.14556127077,133764.8589834218,12368.71342215102,0.04777325646791391
E12000005,gdhi_total_mn_gbp,2025,132330.55220371674,123518.39515431844,141684.56882209855,18166.17366778011,0.06863937830401451
E12000005,gdhi_total_mn_gbp,2026,136886.4040366189,125815.87851763373,148839.8141029034,23023.93558526966,0.08409869390356131
E12000005,gdhi_total_mn_gbp,2027,141620.29169807362,128485.8547689162,156001.7947273169,27515.93995840072,0.09714688350262381
E12000005,gdhi_total_mn_gbp,2028,146537.611184999,131433.2740578406,163277.68424534975,31844.410187509144,0.10865609835589106
E12000005,gdhi_total_mn_gbp,2029,151643.99631378608,134612.3632358547,170725.91024097896,36113.547005124274,0.1190734479537096
E12000005,gdhi_total_mn_gbp,2030,156945.32249415887,137998.1149834931,178384.67566747175,40386.560683978634,0.12866442924886062
E12000005,gdhi_total_mn_gbp,2031,162447.71089524077,141576.0056608303,186282.25230788917,44706.24664705887,0.13760195942646744
E12000005,gdhi_total_mn_gbp,2032,168157.5330368325,145337.46862276542,194441.51969231854,49104.05106955313,0.14600609970532094
E12000005,gdhi_total_mn_gbp,2033,174081.41582160737,149277.6248462816,202882.24766357944,53604.622817297844,0.15396423151863037
E12000005,gdhi_total_mn_gbp,2034,180226.2470130088,153394.03519516124,211622.35828299387,58228.32308783263,0.16154229490122402
E12000005,gdhi_total_mn_gbp,2035,186599.18115717167,157685.96526819342,220678.67613425307,62992.71086605964,0.1687914986427544
E12000005,gdhi_total_mn_gbp,2036,193207.645943665,162153.92837754314,230067.40147560957,67913.47309806643,0.17575255049137256
